Summary,Issue key,Issue id,Issue Type,Status,Project key,Priority,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Version / Delivery,Component1,Component2,Component3,Component4,Component5,Component6,Due Date,Description,Votes,SignedData
Smart Grouping - usability,FPA34-3263,5565314,User Story,Open,FPA34,Medium,I051547,I311255,I311255,12/12/2018 16:09,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"* Smart Grouping label should allow for dynamic text
 * Smart Grouping reasoning would be helpful",1,1
Smart Insights for Variences sorting and percentage - UX ,FPA34-3239,5564598,User Story,Backlog,FPA34,Medium,I051547,I311255,I311255,12/12/2018 13:37,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"* Smart insight results for variances not sorted.
 * Smart insight variances should have the option to show as percentage.

See screenshot for sorting issue",1,1
Smart Insights  - support a set of values,FPA34-3029,5463064,User Story,Backlog,FPA34,Medium,I051547,I311255,I311255,11/12/2018 15:05,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Currently smart Insights supports a single value. Provide support for a set of values.

The use case is if two values together make sense from a business perspective the user may want to see what influences both.

this could be just two sets of influences or a search for common influences??

This will need elaboration.

Juergen raised it as low priority.

??e.g. revenue and margin??

Raised internally by??Juergen Mueller.

[~I304826] [~I819623]",1,1
Smart Grouping: Binning of numeric fields for visualization,FPA34-3682,5819675,User Story,Open,FPA34,Medium,I051547,D027081,D027081,3/1/2019 13:33,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"------------------------

Martina Schnelle Interview (Analytics Presales, Feb 2019)??

---------------------------------

Some numeric data is not well suited for visualization. Some customers ask for this, because they want to report on age groups or salary groups rather than on age and salary, but have no grouping criteria in their database.These groups might possibly be generated from a predictive model.",1,1
Smart Discovery - Reusable simulation components for Calculation Input Control,FPA34-4080,6082732,User Story,Open,FPA34,Medium,I051547,,,5/17/2019 2:46,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"*Use Case*

If one runs Smart Discovery to understand something??such as??how many people will attend a football game, and one of the influences is the price-per-ticket, it would be super useful to reuse the influencer as you can with other calculation input controls.

Like can I multiple the price by attendees for total ticket revenue?

Can I subtract ticket handling fees from the selected ticket price so I know revenue per ticket?

Any ability to reuse these inputs or the output, would be incredibly helpful.??",1,1
Smart Insights for Tables in Explorer mode (e.g. in DiBo),FPA34-4622,6635197,User Story,Backlog,FPA34,Medium,I051547,I058617,I058617,9/27/2019 10:54,1/12/2022 12:46,9/29/2022 9:56,,2019.17,,Smart Assist,,,,,,,"# In Q3 2019, Smart Insights for Tables/Grid feature was released to customers but it does not work in explorer mode so for example if someone is presenting DiBo, there is no way to click on light bulb for insights for Tables.??
 # There is also no way to 'Add Smart Insights' for Tables when you are in Edit mode of story like for other charts and hence users wont be able to make use of it in view mode. This is more??for bringing consistency??and this has not come as customer request because may be customers have not noticed it yet and also we have not listed as limitation.??
 # If there is a calculation coming from Model associated with Table, Fortunately Top Contributors are shown. So for example for Gross Revenue I am able to see top contributing factors chart. But when the same measure is listed on any other chart or as KPI bullet point then the Smart Insights shows it as Calculation. I think Smart Insight Top contributor chart does not yet check for calculation in Tables. Again this is in-consistency.
 # Variances Smart Insight is not enabled for Explorer mode. Whereas in Stories, one could see.??

??",1,1
Providing Transparency to users around computation of Smart Insights,FPA34-4715,6743414,User Story,Backlog,FPA34,Medium,I051547,I058617,I058617,10/25/2019 11:19,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Mentioned by Timo Elliot in the Smart Assist webinar on 24/01/2020 as one of the 3 major reasons customers don't use Smart Features : I?? don't trust the Insights. Scared of what is doing.??

Various SAP preslaes have indicated that if our customers know a little bit more on how it works or how it will be useful then it may increase the adoption of this feature more. Currently even pre-sales have hard time explaining for example how are top contributors derived.

??

Few customers have mentioned following reasons of not using Smart Insights:

Unilever: I don't know how Smart Insights finds top contributors , is it based on algorithm, does it look into entire dataset and how it is done ???I don't want my business professionals to blindly trust on something that may impact our business decisions .

Pilkington Group:?? I tried using it , was not sure what it was trying to tell. How it was coming to something on the top.??

??

Pfizer: Is Smart Insights available out of the box or separate extension is needed for this to work on the dataset/model ?

??

Exxon/AIG :??Let users know when a dimension is not considered and why. Explain why no smart Insights could be generated.??

??

In summary whenever we asked users the reasons of what is stopping them to use Smart Insights, it either comes to a point that 'It is not transparent and trust worthy OR the insights are too obvious. ' We have a separate Jira item to take care of 'Too OBVIOUS' requirement but here we want to focus on some indication that allow users to understand more about SI logic. Pointing a link to help or blog may not be sufficient alone.??

Suggestion is to provide in-line hovering or description .?? Attached couple of example on competitions are doing it.??

In the beginning something like - Smart Insights runs a statistical algorithm on dataset to find high variance to a selected datapoint or chart. And then it arranges the list in order of highest to lowest variance.??

If SMart Insights can't be generated - The most likely reason is , all dimensions are used in the story or chart already or for the context of user (filters) , the computation could not found any dimensions with high variance.??",1,1
Smart Discovery scope filter ,FPA34-4038,6061744,User Story,Backlog,FPA34,Medium,I051547,I311255,I311255,5/10/2019 16:29,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Smart Discovery scope filter ?€? User interaction is confusing. There should be separate filter for scope filtering and not using Page Filter for it. This cause a huge misunderstanding that the Smart Discovery is flexible enough to adapt the result to the filter after the discovery is ran, in fact it is not.
a. Example: 
i. For Dimension X, I select A,B,C for the scope in page filter and run the discovery
ii. Then I see Dimension X as a page filter, I deselect A, thinking that the result would change to reflect discovery on B & C only, in fact it is not. The discovery is done for A, B, and C and it wont be changed unless you run another discovery.
Proposed solution: Separate the page filter and scope filter.

??

Exxon raised this as Medium",1,1
Smart Discovery - Assist users with Big Datasets,FPA34-3190,5547698,User Story,Open,FPA34,Medium,I051547,I311255,I311255,12/7/2018 14:34,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Current data limit is 1M cells. #cells is the #measures * #rows

There is a need to increase the limit - it is also possible to mitigate this by some of the suggestions below.

_Details from Exxon_

{color:#000000}Enhancement Request
Approach
?€? Provide user with the ability to configure ?€?Smart Dataset?€? similar to explorer 
?€? User can select dimensions and measures before they run smart discovery
?€? If user selection results in greater than 1million cells, UI throws an error message{color}

{color:#000000}From Daimler:{color}

{color:#000000}Smart Discovery didn?€?t work for their dataset with 30GB. They received error messages like dataset too big, too many dimensions or no records remaining. Not understandable what the user should setup in the complex dialogues. Thoughtspot comes with an automatic suggestion and asks afterwards if the result was good or bad and uses the user feedback to improve the result. Therefore, the expectation is that the user gets a proposal without manual configuration steps in between.{color}",1,1
Misc. - Mark certain pages in a story as favorites ,FPA34-3684,5820821,User Story,Open,FPA34,Low,I866445,I045436,I045436,3/1/2019 20:17,1/11/2022 23:04,9/29/2022 9:56,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,The customer want to have the option to mark as favorite certain pages during his navigation through the story. In base of selection they want to have possibility to export into PDF or save as a separate story.,1,1
